node_id,is_ad,ego_original_size,ego_was_subsampled,H0_invalid_count,H0_count,H0_total_persistence,H0_max_persistence,H0_mean_persistence,H0_median_persistence,H0_std_persistence,H0_entropy,H0_infinite_count,H1_invalid_count,H1_count,H1_total_persistence,H1_max_persistence,H1_mean_persistence,H1_median_persistence,H1_std_persistence,H1_entropy,H1_infinite_count,H2_invalid_count,H2_count,H2_total_persistence,H2_max_persistence,H2_mean_persistence,H2_median_persistence,H2_std_persistence,H2_entropy,H2_infinite_count,degree,clustering_coefficient,ego_size_1hop,ego_edges_1hop,ego_density_1hop,ego_size_2hop,ego_edges_2hop,ego_density_2hop
6416,1,7095,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,26,26.0,1.0,1.0,1.0,0.0,3.2580965354214824,0,0,32,32.0,1.0,1.0,1.0,0.0,3.4657358995997267,0,67,0.07688828584350972,68,237,0.10403863037752414,7095,78756,0.0031294647354075237
273,1,5963,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,47,47.0,1.0,1.0,1.0,0.0,3.8501475970100585,0,0,39,39.0,1.0,1.0,1.0,0.0,3.6635616422296478,0,61,0.06612021857923497,62,182,0.09624537281861449,5963,71656,0.004031120456951829
6418,1,11766,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,307,0.031168167592770007,308,1771,0.03745928338762215,11766,106556,0.001539526359707742
274,1,10150,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,45,45.0,1.0,1.0,1.0,0.0,3.8066624852703197,0,0,39,39.0,1.0,1.0,1.0,0.0,3.6635616422296478,0,112,0.05711068211068211,113,467,0.07379898862199748,10150,99120,0.0019244294494786304
10513,1,5095,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,138,138.0,1.0,1.0,1.0,0.0,4.927253671357204,0,0,41,41.0,1.0,1.0,1.0,0.0,3.7135720626043076,0,196,0.003872318158032444,197,270,0.013985289547290997,5095,57457,0.004427614623295971
6423,1,1681,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,89,89.0,1.0,1.0,1.0,0.0,4.48863636083214,0,0,135,135.0,1.0,1.0,1.0,0.0,4.90527476493843,0,24,0.057971014492753624,25,40,0.13333333333333333,1681,27955,0.01979759780176199
8473,1,12617,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,978,0.016554579458423077,979,8887,0.018563661012134164,12617,111840,0.001405236334767703
6446,1,6120,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,117,117.0,1.0,1.0,1.0,0.0,4.762173923097755,0,0,81,81.0,1.0,1.0,1.0,0.0,4.394449146572438,0,71,0.06599597585513078,72,235,0.09194053208137715,6120,74014,0.003952865124913614
308,1,8216,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,64,64.0,1.0,1.0,1.0,0.0,4.158883076959672,0,0,146,146.0,1.0,1.0,1.0,0.0,4.983606607108338,0,230,0.030529713309284223,231,1034,0.038923395445134575,8216,93166,0.002760701474076976
2358,1,962,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,220,220.0,1.0,1.0,1.0,0.0,5.393627524352363,0,0,33,33.0,1.0,1.0,1.0,0.0,3.49650755816648,0,136,0.006753812636165577,137,198,0.02125375697724345,962,13938,0.03015310195331007
