node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,is_ad,ad_category
146057,20,6743,300,4555,True,200382,1.7684779167175293,1,17,25,57,1,14,23,57,0,3,2,0,True,Tau
6794,264,13495,300,2993,True,124028,2.7251460552215576,1,20,58,15,1,123,47,5,0,-103,11,10,True,Tau
197259,54,7965,300,4278,True,151872,2.1033151149749756,1,42,104,81,1,34,90,81,0,8,14,0,True,Tau
8851,54,9761,300,5326,True,448120,2.5258331298828125,1,43,43,21,1,40,33,20,0,3,10,1,True,Both
84630,24,6022,300,5453,True,330710,2.0179221630096436,1,41,102,170,1,37,98,170,0,4,4,0,True,Tau
6812,135,12609,300,4243,True,326099,3.057159185409546,1,21,55,61,1,41,55,51,0,-20,0,10,True,Tau
4780,159,11924,300,3934,True,147557,2.6541669368743896,1,37,85,49,1,55,81,43,0,-18,4,6,True,Tau
8877,34,6761,300,3820,True,110108,1.6234791278839111,1,92,104,29,1,84,100,29,0,8,4,0,True,Tau
8878,1219,17592,300,5292,True,329265,3.4510602951049805,1,0,0,0,1,64,173,122,0,-64,-173,-122,True,Tau
8883,94,11902,300,6550,True,1569963,4.751927137374878,1,19,19,39,1,23,20,33,0,-4,-1,6,True,Amyloid
2740,119,6839,300,1506,True,5360,1.3580090999603271,1,206,48,0,2,188,45,0,-1,18,3,0,True,Tau
10939,349,15367,300,7396,True,2298781,6.069375991821289,1,0,0,0,1,26,94,105,0,-26,-94,-105,True,Tau
2752,140,13556,300,5730,True,624699,3.356194257736206,1,36,85,166,1,54,79,147,0,-18,6,19,True,Amyloid
6850,223,12282,300,3988,True,83171,2.6770071983337402,1,17,134,139,2,62,197,85,-1,-45,-63,54,True,Tau
4803,9,2863,300,2201,True,13812,0.6068799495697021,1,112,136,5,1,110,136,5,0,2,0,0,True,Amyloid
4804,59,8617,300,3872,True,162622,2.0225729942321777,1,90,176,112,1,90,169,112,0,0,7,0,True,Both
712,60,6831,300,2825,True,33867,1.6197230815887451,1,109,123,20,1,97,120,20,0,12,3,0,True,Amyloid
713,81,8137,300,5492,True,701350,2.6376240253448486,1,56,36,62,1,51,32,62,0,5,4,0,True,Amyloid
714,27,5658,300,3004,True,46663,1.1598780155181885,1,74,116,29,1,68,116,29,0,6,0,0,True,Amyloid
6868,57,10004,300,4168,True,172621,2.3406639099121094,1,61,85,63,1,62,81,63,0,-1,4,0,True,Amyloid
727,33,6005,300,2315,True,16721,1.3125629425048828,1,103,201,3,1,98,198,3,0,5,3,0,True,Amyloid
10971,1095,17599,300,4875,True,471029,3.5654170513153076,1,0,0,0,1,52,34,29,0,-52,-34,-29,True,Tau
10972,268,13847,300,5703,True,519743,3.3590328693389893,1,6,24,61,1,47,106,147,0,-41,-82,-86,True,Amyloid
4842,35,6000,300,4530,True,762592,2.3141560554504395,1,84,86,23,1,78,85,23,0,6,1,0,True,Amyloid
10987,1081,17124,300,4579,True,485495,3.3804430961608887,1,0,0,0,1,31,28,15,0,-31,-28,-15,True,Amyloid
4846,50,9343,300,3906,True,130821,2.130373001098633,1,61,136,73,1,60,126,73,0,1,10,0,True,Amyloid
4851,341,15084,300,3894,True,134506,2.8589999675750732,1,0,0,0,1,99,189,72,0,-99,-189,-72,True,Amyloid
11021,565,14827,300,6111,True,808544,3.778503894805908,1,0,0,0,1,27,96,45,0,-27,-96,-45,True,Tau
2833,10,1303,300,7302,True,1501339,2.279736042022705,1,3,0,0,2,1,0,0,-1,2,0,0,True,Amyloid
796,14,1472,300,2829,True,53559,0.2620508670806885,1,118,77,22,1,109,77,22,0,9,0,0,True,Tau
801,562,15501,300,4425,True,184649,3.06081223487854,1,0,0,0,1,121,160,315,0,-121,-160,-315,True,Tau
27429,259,13323,300,4327,True,226178,3.0158190727233887,1,16,36,130,1,47,77,105,0,-31,-41,25,True,Amyloid
811,402,16115,300,6553,True,988507,4.007455110549927,1,0,0,0,1,37,95,200,0,-37,-95,-200,True,Amyloid
58157,159,11274,300,4826,True,450003,3.0528411865234375,1,29,36,44,1,34,13,14,0,-5,23,30,True,Both
815,218,12431,300,3241,True,132569,2.711939811706543,1,35,67,39,1,79,74,25,0,-44,-7,14,True,Tau
2869,174,11050,300,5051,True,186557,2.7309579849243164,1,27,219,377,1,42,175,332,0,-15,44,45,True,Amyloid
823,193,13969,300,4304,True,317782,2.9516429901123047,1,66,78,106,1,99,114,139,0,-33,-36,-33,True,Tau
824,152,13196,300,4451,True,274328,2.9807450771331787,1,46,91,132,1,71,101,131,0,-25,-10,1,True,Tau
4921,127,11322,300,3835,True,99444,2.4591240882873535,1,34,89,54,1,36,104,37,0,-2,-15,17,True,Tau
9024,37,8438,300,3650,True,89289,1.9129679203033447,1,30,148,8,1,29,130,8,0,1,18,0,True,Tau
834,70,10473,300,5698,True,667149,3.0698130130767822,1,14,33,48,1,19,28,35,0,-5,5,13,True,Tau
835,47,10193,300,2752,True,57777,2.253582000732422,1,34,34,18,1,35,36,18,0,-1,-2,0,True,Tau
836,128,12597,300,3278,True,117128,2.633758068084717,1,40,68,74,1,54,87,57,0,-14,-19,17,True,Both
2885,730,16571,300,2968,True,83838,2.9748477935791016,1,0,0,0,2,91,54,16,-1,-91,-54,-16,True,Tau
837,48,6819,300,2897,True,53152,1.5520691871643066,1,72,124,101,2,65,110,101,-1,7,14,0,True,Amyloid
839,36,9509,300,3865,True,98677,2.1728198528289795,1,38,96,164,1,35,89,162,0,3,7,2,True,Tau
11079,186,12928,300,4273,True,164426,2.658719778060913,1,24,51,39,1,112,138,52,0,-88,-87,-13,True,Amyloid
841,171,12182,300,4485,True,186414,2.7438039779663086,1,39,69,65,1,56,85,57,0,-17,-16,8,True,Both
840,64,10704,300,5615,True,594973,3.125380039215088,1,20,72,123,1,24,69,114,0,-4,3,9,True,Both
54103,6,3272,300,1551,True,15574,0.4800081253051758,1,6,2,0,1,4,2,0,0,2,0,0,True,Amyloid
2904,72,10146,300,2649,True,37763,2.230104923248291,1,113,95,26,1,115,97,22,0,-2,-2,4,True,Tau
23385,186,13594,300,4755,True,321405,3.0344650745391846,1,18,63,42,1,50,94,53,0,-32,-31,-11,True,Amyloid
54106,69,8211,300,5760,True,581282,2.667509078979492,1,34,88,48,1,32,69,48,0,2,19,0,True,Tau
2903,64,7664,300,4806,True,383031,2.0816328525543213,1,36,32,11,1,31,26,11,0,5,6,0,True,Tau
2908,949,16126,300,3923,True,214634,3.2450387477874756,1,0,0,0,1,80,71,32,0,-80,-71,-32,True,Tau
2919,22,5276,300,3638,True,83105,1.2268717288970947,1,45,85,85,1,42,82,85,0,3,3,0,True,Tau
23411,394,14614,300,5518,True,567238,3.394935131072998,1,0,0,0,1,44,64,68,0,-44,-64,-68,True,Both
2932,826,16665,300,3783,True,202019,3.346027135848999,1,0,0,0,1,79,93,36,0,-79,-93,-36,True,Both
2931,457,14333,300,5454,True,1042885,3.8412060737609863,1,0,0,0,1,40,68,32,0,-40,-68,-32,True,Both
64374,74,9657,300,2231,True,19828,2.0546061992645264,1,135,97,36,1,143,92,36,0,-8,5,0,True,Tau
